Year,Predicted kWh price,zone1,zone2,zone3,zone4
2024,0.83,0.76,0.77,0.84,0.95
2025,0.86,0.79,0.8,0.87,0.98
2026,0.89,0.83,0.84,0.9,1.01
2027,0.93,0.86,0.87,0.94,1.05
2028,0.96,0.9,0.91,0.97,1.08
2029,1.0,0.93,0.94,1.01,1.12
2030,1.04,0.97,0.98,1.05,1.15
2031,1.08,1.01,1.02,1.09,1.19
2032,1.12,1.05,1.06,1.12,1.23
2033,1.16,1.09,1.1,1.17,1.27
2034,1.2,1.13,1.14,1.21,1.31
2035,1.24,1.17,1.18,1.25,1.36
2036,1.28,1.22,1.23,1.29,1.4
2037,1.33,1.26,1.27,1.34,1.45
2038,1.37,1.31,1.32,1.38,1.49
2039,1.42,1.35,1.37,1.43,1.54
2040,1.47,1.4,1.41,1.48,1.59
2041,1.52,1.45,1.46,1.53,1.64
2042,1.57,1.5,1.51,1.58,1.69
2043,1.62,1.55,1.56,1.63,1.74
