"Prices on electric energy by contract type, bidding area, type of customer and month"

"contract type";"bidding area";"type of customer";"2013M04";"2013M05";"2013M06";"2013M07";"2013M08";"2013M09";"2013M10";"2013M11";"2013M12";"2014M01";"2014M02";"2014M03";"2014M04";"2014M05";"2014M06";"2014M07";"2014M08";"2014M09";"2014M10";"2014M11";"2014M12";"2015M01";"2015M02";"2015M03";"2015M04";"2015M05";"2015M06";"2015M07";"2015M08";"2015M09";"2015M10";"2015M11";"2015M12";"2016M01";"2016M02";"2016M03";"2016M04";"2016M05";"2016M06";"2016M07";"2016M08";"2016M09";"2016M10";"2016M11";"2016M12";"2017M01";"2017M02";"2017M03";"2017M04";"2017M05";"2017M06";"2017M07";"2017M08";"2017M09";"2017M10";"2017M11";"2017M12";"2018M01";"2018M02";"2018M03";"2018M04";"2018M05";"2018M06";"2018M07";"2018M08";"2018M09";"2018M10";"2018M11";"2018M12";"2019M01";"2019M02";"2019M03";"2019M04";"2019M05";"2019M06";"2019M07";"2019M08";"2019M09";"2019M10";"2019M11";"2019M12";"2020M01";"2020M02";"2020M03";"2020M04";"2020M05";"2020M06";"2020M07";"2020M08";"2020M09";"2020M10";"2020M11";"2020M12";"2021M01";"2021M02";"2021M03";"2021M04";"2021M05";"2021M06";"2021M07";"2021M08";"2021M09";"2021M10";"2021M11";"2021M12";"2022M01";"2022M02";"2022M03";"2022M04";"2022M05";"2022M06";"2022M07";"2022M08";"2022M09";"2022M10";"2022M11";"2022M12";"2023M01";"2023M02";"2023M03";"2023M04";"2023M05";"2023M06";"2023M07";"2023M08";"2023M09"
"standard price agreement";"SE1";"one- or two dwelling house without electric heating";73.1;72.9;72.1;72.1;71.1;71.7;72.0;71.3;70.7;69.3;67.1;65.8;61.0;60.9;65.0;61.9;63.6;63.5;64.9;62.0;63.3;61.5;60.7;57.7;59.7;59.7;55.9;50.9;51.7;58.1;53.3;57.3;55.1;53.3;60.2;59.4;57.5;56.3;53.3;55.7;51.9;50.3;55.5;61.2;61.1;60.2;60.0;60.0;57.7;59.2;59.6;60.4;60.8;63.1;63.0;61.6;64.8;63.4;64.1;67.8;66.3;66.9;69.7;72.5;70.8;77.0;75.7;79.7;85.1;87.6;83.1;80.5;80.3;79.1;73.4;77.8;79.1;78.1;79.0;81.1;77.9;72.2;68.2;64.3;50.5;53.6;48.2;43.7;59.7;55.6;54.2;52.9;49.8;59.7;63.5;63.2;58.5;69.5;68.2;78.0;81.8;81.3;66.0;80.5;92.2;77.8;70.6;69.9;88.6;93.9;99.9;92.5;122.4;167.4;115.6;153.0;223.8;156.8;114.3;116.2;118.4;69.9;91.0;77.7;66.6;55.9
"standard price agreement";"SE2";"one- or two dwelling house without electric heating";73.1;73.0;72.1;72.1;71.4;71.7;72.0;71.5;70.7;69.4;66.3;65.3;60.9;60.5;63.5;61.1;62.1;62.9;64.7;63.9;63.9;64.7;63.2;60.9;59.1;58.4;57.5;55.1;52.6;53.1;52.7;53.5;53.9;52.8;57.5;55.8;54.4;54.0;54.5;57.0;54.6;55.3;57.5;58.9;62.9;60.4;61.3;61.4;60.8;61.5;60.7;60.6;60.9;62.8;63.6;64.7;63.4;64.3;64.6;66.7;66.1;67.3;70.5;73.0;72.9;77.3;75.9;78.0;82.3;83.1;81.2;79.4;81.8;80.0;79.9;82.4;83.2;82.3;83.1;84.4;82.5;83.0;76.9;74.2;59.8;64.5;57.4;57.2;66.4;62.7;59.8;57.0;51.3;63.6;58.8;63.1;54.2;67.1;65.0;75.2;78.5;79.2;60.0;83.7;90.2;70.1;68.1;72.3;88.1;92.7;93.7;79.8;119.4;150.2;103.4;148.8;233.7;122.9;95.6;98.6;98.2;62.9;87.9;77.0;66.3;55.6
"standard price agreement";"SE3";"one- or two dwelling house without electric heating";72.7;72.8;71.9;72.0;71.3;71.5;71.8;71.4;70.7;69.6;67.1;67.4;65.9;67.0;67.2;65.9;65.7;67.6;66.3;65.4;66.0;65.8;64.9;64.6;63.3;63.6;63.1;61.4;59.1;61.4;61.0;60.9;60.9;59.6;61.2;60.0;60.6;59.8;60.0;61.5;60.5;59.9;60.4;61.9;63.1;62.7;62.4;62.4;61.8;60.5;61.1;60.8;61.6;61.8;62.1;60.8;61.0;60.8;62.7;63.8;63.4;62.2;64.7;67.3;71.6;73.0;73.3;76.3;79.7;82.0;79.8;77.8;75.9;72.6;66.7;73.1;72.9;71.3;73.2;75.5;72.9;66.1;63.1;60.3;54.2;53.1;58.5;52.8;63.4;62.0;56.5;50.9;54.7;61.2;65.1;63.8;57.7;67.7;66.5;75.4;81.2;99.4;90.1;96.1;159.7;140.9;111.9;132.8;117.2;121.6;137.8;129.1;235.9;251.2;184.8;204.0;306.3;169.0;156.6;154.5;139.7;100.2;105.5;95.5;93.4;85.4
"standard price agreement";"SE4";"one- or two dwelling house without electric heating";74.4;74.3;72.7;72.7;72.7;72.1;72.1;71.8;71.5;69.7;71.0;70.2;67.3;65.3;67.1;64.8;65.3;66.7;67.4;64.3;65.0;66.4;65.2;64.8;64.2;62.3;61.3;59.9;58.0;60.9;61.3;61.2;61.3;60.5;61.9;60.8;59.2;60.1;60.1;60.6;59.0;57.9;61.5;62.2;62.2;63.1;63.8;63.1;61.9;60.4;59.2;61.2;58.6;60.0;60.5;61.0;61.6;61.6;61.5;62.9;62.1;61.7;66.1;70.2;75.9;78.2;81.6;82.8;85.9;87.9;85.3;81.7;80.9;78.6;77.9;76.9;76.7;77.8;79.2;77.9;75.0;72.3;68.0;65.5;62.0;62.6;61.7;58.7;67.4;68.5;67.6;66.6;61.3;62.4;60.5;60.3;63.3;72.3;85.6;86.9;95.3;126.8;106.2;111.0;192.6;152.3;128.6;185.2;156.4;173.3;203.5;175.6;323.3;284.1;192.0;228.5;339.2;208.4;189.8;172.8;144.8;119.7;143.2;97.8;105.7;110.3
"flexible price agreement";"SE1";"one- or two dwelling house without electric heating";48.8;42.7;41.1;40.8;46.6;50.1;48.1;44.1;40.9;41.0;41.0;35.7;36.0;41.1;40.5;39.4;42.7;45.1;40.4;39.8;41.1;39.8;39.0;35.2;35.0;32.5;25.6;19.8;26.0;31.1;33.4;35.0;30.1;42.0;31.3;32.6;32.9;34.4;44.1;40.1;41.7;40.7;48.0;53.3;45.3;42.7;43.2;40.9;39.3;40.4;38.2;41.1;44.0;45.5;40.5;43.6;41.8;44.1;52.6;56.6;54.3;48.4;60.0;68.9;73.0;68.0;62.9;66.6;68.4;72.6;64.4;57.1;55.9;51.4;40.5;50.4;53.5;50.5;53.5;58.1;51.5;38.1;30.5;25.1;15.7;22.4;22.0;19.4;31.3;31.3;28.0;24.8;23.5;..;56.9;38.3;39.5;53.5;47.8;66.2;71.9;72.2;39.8;73.7;87.6;48.1;44.7;43.5;69.7;75.9;72.1;41.1;47.7;124.7;71.1;152.9;231.4;94.3;75.3;79.7;88.3;52.1;70.4;57.7;45.0;30.6
"flexible price agreement";"SE2";"one- or two dwelling house without electric heating";48.9;42.8;41.1;41.0;46.5;50.1;47.9;44.2;40.8;40.9;40.9;35.4;35.8;41.1;40.8;39.3;42.6;44.6;40.3;39.8;41.1;39.8;38.9;35.1;34.9;32.3;25.5;19.7;26.0;31.1;33.5;35.0;30.0;41.6;31.1;32.7;32.7;34.4;44.5;39.9;41.5;40.4;47.9;53.3;45.1;42.7;43.3;41.0;39.3;40.5;38.1;41.0;43.9;45.5;40.6;43.6;41.9;44.2;52.5;56.8;54.3;48.4;59.9;68.9;73.1;68.0;62.9;66.6;68.5;72.4;64.3;57.0;55.8;51.1;40.5;50.2;53.5;50.4;53.4;58.0;51.4;38.0;30.4;25.1;15.8;22.6;21.8;19.3;31.2;31.1;28.1;25.1;23.8;..;57.1;38.0;39.1;53.5;47.8;66.8;71.8;72.0;39.9;73.2;90.1;48.1;45.0;43.1;70.2;73.6;71.5;40.6;78.5;125.3;72.1;156.5;232.9;94.8;75.3;80.2;88.2;52.9;70.9;57.8;45.0;30.8
"flexible price agreement";"SE3";"one- or two dwelling house without electric heating";49.1;43.1;41.2;40.9;46.8;51.1;48.7;44.7;41.2;41.4;41.3;35.6;36.0;41.5;41.2;39.4;43.0;44.7;40.6;40.3;41.6;40.1;39.9;35.5;35.2;32.4;25.9;19.8;27.6;31.3;34.5;36.4;31.0;44.2;31.5;32.7;33.0;34.4;44.1;39.9;41.7;40.5;48.1;53.4;45.4;42.8;43.3;41.0;39.4;40.6;38.1;40.8;44.1;46.5;41.8;43.2;42.7;44.3;52.8;56.5;54.2;48.9;59.9;68.9;73.6;68.4;63.1;67.4;68.8;73.0;64.5;57.1;56.0;50.8;40.6;50.4;53.6;51.0;54.6;58.3;52.1;38.2;33.2;28.4;19.4;25.3;36.1;19.6;47.4;46.3;34.0;21.6;37.5;..;66.2;48.9;45.9;57.7;53.2;73.0;80.7;107.7;83.9;108.0;205.9;124.2;95.8;151.5;105.6;119.8;147.0;108.4;254.2;253.8;103.6;167.7;305.4;116.9;104.7;108.9;90.1;61.6;72.7;57.0;57.9;43.8
"flexible price agreement";"SE4";"one- or two dwelling house without electric heating";49.5;43.3;41.6;41.9;47.1;51.8;49.0;47.6;42.5;41.6;41.6;36.6;36.2;41.7;41.6;39.7;42.7;45.0;40.7;40.8;42.8;40.4;42.6;36.5;35.6;33.5;30.4;20.2;27.8;32.5;35.7;37.2;31.2;44.3;32.4;33.8;33.1;34.7;45.3;40.4;41.9;41.6;48.6;53.7;46.8;45.0;44.9;41.4;40.2;40.9;39.3;41.3;44.6;47.2;43.5;46.2;44.3;44.8;53.4;57.2;55.5;52.1;62.7;70.1;75.2;69.8;70.8;73.0;70.1;73.9;65.3;57.8;56.8;53.1;44.4;53.3;55.9;53.5;60.1;61.4;53.3;41.7;34.3;31.1;24.7;26.9;36.4;34.1;53.7;52.3;38.5;24.7;44.5;..;67.8;58.2;55.6;62.8;87.2;84.2;99.5;138.7;105.4;139.4;210.3;129.7;102.0;176.6;128.4;156.5;199.1;143.8;332.9;265.1;104.4;172.2;308.8;130.1;126.3;122.9;96.5;95.1;124.5;62.7;72.5;73.8
"one year agreement";"SE1";"one- or two dwelling house without electric heating";49.1;48.5;47.3;46.8;46.8;47.8;49.6;48.8;47.2;45.4;44.3;44.0;42.2;43.0;43.3;44.4;43.6;45.8;45.4;44.6;45.2;43.8;42.8;42.1;41.7;40.7;39.4;39.4;39.1;38.1;37.9;37.6;35.1;35.3;34.3;34.0;34.1;35.6;37.6;38.7;39.0;38.9;43.8;50.1;42.4;41.7;40.5;40.7;40.3;40.1;40.7;41.6;41.3;43.0;42.0;43.2;42.6;42.9;44.4;46.5;49.6;54.8;58.7;63.5;63.2;69.4;63.5;62.8;64.6;67.3;63.4;61.2;60.6;60.6;55.0;55.3;55.7;53.7;54.0;55.4;54.2;48.6;40.5;40.4;37.2;38.2;40.9;39.9;38.2;41.7;42.2;45.2;48.3;44.3;41.1;48.6;49.7;50.9;51.8;57.7;65.3;74.4;67.7;61.8;67.7;76.2;75.2;107.2;106.0;111.1;117.9;158.8;211.8;303.3;279.0;251.2;271.6;216.2;190.2;163.4;145.7;144.1;123.4;115.6;99.7;92.6
"one year agreement";"SE2";"one- or two dwelling house without electric heating";49.0;48.5;47.3;46.8;46.8;47.8;49.6;48.8;47.2;45.4;44.4;44.1;42.3;43.1;43.4;44.5;43.7;45.8;45.4;44.6;45.2;43.8;42.8;42.1;41.7;40.7;39.4;39.5;39.1;38.1;37.9;37.6;35.2;35.4;34.4;34.1;34.1;35.6;37.7;38.7;39.0;38.9;43.9;50.2;42.5;41.7;40.6;40.7;40.3;40.2;40.8;41.7;41.3;43.0;42.0;43.3;42.6;42.9;44.4;46.5;49.8;54.9;58.8;63.7;63.6;69.5;63.6;62.8;64.6;67.4;63.5;61.3;60.7;60.6;54.9;55.2;55.7;53.7;54.0;55.4;54.1;48.6;40.5;40.4;37.0;38.2;40.8;39.9;38.1;41.7;42.1;45.1;48.0;44.2;41.1;48.5;49.5;51.0;51.8;57.7;65.2;74.1;68.0;61.0;67.7;75.2;74.3;107.2;105.4;109.1;114.0;159.7;211.4;305.4;279.4;252.1;273.2;218.7;189.7;162.9;146.2;143.4;123.1;115.9;99.7;90.8
