Lutning;Rikting väderstreck;Värde(%)
0;270 V;90
10;270 V;89
20;270 V;87
30;270 V;86
40;270 V;82
50;270 V;78
60;270 V;74
70;270 V;69
80;270 V;63
90;270 V;56
0;225 SV;90
10;225 SV;94
20;225 SV;96
30;225 SV;96
40;225 SV;95
50;225 SV;92
60;225 SV;87
70;225 SV;82
80;225 SV;75
90;225 SV;67
0;180 S;90
10;180 S;96
20;180 S;98
30;180 S;100
40;180 S;100
50;180 S;97
60;180 S;93
70;180 S;87
80;180 S;80
90;180 S;71
0;135 SO;90
10;135 SO;94
20;135 SO;96
30;135 SO;96
40;135 SO;96
50;135 SO;93
60;135 SO;89
70;135 SO;84
80;135 SO;77
90;135 SO;69
0;90 Ö;90
10;90 Ö;90
20;90 Ö;88
30;90 Ö;86
40;90 Ö;84
50;90 Ö;80
60;90 Ö;76
70;90 Ö;70
80;90 Ö;65
90;90 Ö;58
